Datacode,Rectype,RecYear,RecMonth,RecDay,Watershed,SoilType,Transect,Pid,Plot,SpeCode,Ab_genus,Ab_species,CoverClass,Comments
PBG01,1,2008,6,2,C01A,f,a,8,2,31,carex,brevi,1,
PBG01,1,2008,6,2,C01A,f,a,8,2,32,carex,gravi,1,
PBG01,1,2008,6,2,C01A,f,a,8,2,33,carex,inops,2,
PBG01,1,2008,6,2,C01A,f,a,8,2,36,cyperu,lupul,1,
PBG01,1,2008,6,2,C01A,f,a,8,2,44,achill,mille,1,
PBG01,1,2008,6,2,C01A,f,a,8,2,77,eriger,strig,1,
PBG01,1,2008,6,2,C01A,f,a,8,2,79,euphor,spath,1,
PBG01,1,2008,6,2,C01A,f,a,8,2,83,hierac,longi,1,
PBG01,1,2008,6,2,C01A,f,a,8,2,89,lepidi,densi,1,
PBG01,1,2008,6,2,C01A,f,a,8,2,102,oxalis,stric,1,
PBG01,1,2008,6,2,C01A,f,a,8,2,106,dalea,candi,1,
PBG01,1,2008,6,2,C01A,f,a,8,2,109,dalea,purpu,1,
PBG01,1,2008,6,2,C01A,f,a,8,2,120,ruelli,humil,1,
PBG01,1,2008,6,2,C01A,f,a,8,2,123,packer,platt,1,
PBG01,1,2008,6,2,C01A,f,a,8,2,125,sisyri,campe,1,
PBG01,1,2008,6,2,C01A,f,a,8,2,132,spermo,inerm,1,
PBG01,1,2008,6,2,C01A,f,a,8,2,147,viola,pedat,1,
PBG01,1,2008,9,3,C01A,f,a,8,2,2,androp,gerar,5,
PBG01,1,2008,9,3,C01A,f,a,8,2,3,schiza,scopa,3,
PBG01,1,2008,9,3,C01A,f,a,8,2,4,boutel,curti,2,
PBG01,1,2008,9,3,C01A,f,a,8,2,11,eragro,spect,1,
PBG01,1,2008,9,3,C01A,f,a,8,2,18,sorgha,nutan,2,
PBG01,1,2008,9,3,C01A,f,a,8,2,40,amorph,canes,2,
PBG01,1,2008,9,3,C01A,f,a,8,2,46,ambros,psilo,2,
PBG01,1,2008,9,3,C01A,f,a,8,2,52,artemi,ludov,1,
PBG01,1,2008,9,3,C01A,f,a,8,2,58,symphy,erico,3,
PBG01,1,2008,9,3,C01A,f,a,8,2,59,symphy,oblon,4,
PBG01,1,2008,9,3,C01A,f,a,8,2,86,bricke,eupat,1,
PBG01,1,2008,9,3,C01A,f,a,8,2,92,linum,sulca,1,
PBG01,1,2008,9,3,C01A,f,a,8,2,121,salvia,azure,2,
PBG01,1,2008,9,3,C01A,f,a,8,2,128,solida,misso,2,
PBG01,1,2008,9,3,C01A,f,a,8,2,130,solida,rigid,1,
PBG01,1,2008,6,2,C01A,f,a,8,3,12,koeler,macra,1,
PBG01,1,2008,6,2,C01A,f,a,8,3,14,dichan,oligo,3,
PBG01,1,2008,6,2,C01A,f,a,8,3,17,poa,prate,2,
PBG01,1,2008,6,2,C01A,f,a,8,3,33,carex,inops,3,
PBG01,1,2008,6,2,C01A,f,a,8,3,34,carex,meadi,2,
PBG01,1,2008,6,2,C01A,f,a,8,3,56,asclep,virds,1,
PBG01,1,2008,6,2,C01A,f,a,8,3,70,cirsiu,undul,1,
PBG01,1,2008,6,2,C01A,f,a,8,3,77,eriger,strig,1,
PBG01,1,2008,6,2,C01A,f,a,8,3,102,oxalis,stric,1,
PBG01,1,2008,6,2,C01A,f,a,8,3,106,dalea,candi,1,
PBG01,1,2008,6,2,C01A,f,a,8,3,109,dalea,purpu,1,
PBG01,1,2008,6,2,C01A,f,a,8,3,125,sisyri,campe,1,
PBG01,1,2008,6,2,C01A,f,a,8,3,147,viola,pedat,1,
PBG01,1,2008,9,3,C01A,f,a,8,3,2,androp,gerar,6,
PBG01,1,2008,9,3,C01A,f,a,8,3,3,schiza,scopa,1,
PBG01,1,2008,9,3,C01A,f,a,8,3,4,boutel,curti,2,
PBG01,1,2008,9,3,C01A,f,a,8,3,11,eragro,spect,1,
PBG01,1,2008,9,3,C01A,f,a,8,3,18,sorgha,nutan,2,
PBG01,1,2008,9,3,C01A,f,a,8,3,21,sporob,compo,1,
PBG01,1,2008,9,3,C01A,f,a,8,3,40,amorph,canes,2,
PBG01,1,2008,9,3,C01A,f,a,8,3,41,ceanot,herba,2,
PBG01,1,2008,9,3,C01A,f,a,8,3,46,ambros,psilo,2,
PBG01,1,2008,9,3,C01A,f,a,8,3,52,artemi,ludov,1,
PBG01,1,2008,9,3,C01A,f,a,8,3,58,symphy,erico,4,
PBG01,1,2008,9,3,C01A,f,a,8,3,59,symphy,oblon,2,
PBG01,1,2008,9,3,C01A,f,a,8,3,60,symphy,seric,1,
PBG01,1,2008,9,3,C01A,f,a,8,3,92,linum,sulca,1,
PBG01,1,2008,9,3,C01A,f,a,8,3,121,salvia,azure,2,
PBG01,1,2008,9,3,C01A,f,a,8,3,128,solida,misso,1,
PBG01,1,2008,9,3,C01A,f,a,8,3,140,vernon,baldw,1,
PBG01,1,2008,6,2,C01A,f,a,8,4,12,koeler,macra,2,
PBG01,1,2008,6,2,C01A,f,a,8,4,14,dichan,oligo,3,
PBG01,1,2008,6,2,C01A,f,a,8,4,17,poa,prate,1,
PBG01,1,2008,6,2,C01A,f,a,8,4,33,carex,inops,2,
PBG01,1,2008,6,2,C01A,f,a,8,4,34,carex,meadi,1,
PBG01,1,2008,6,2,C01A,f,a,8,4,54,asclep,steno,1,
PBG01,1,2008,6,2,C01A,f,a,8,4,66,baptis,bract,1,
PBG01,1,2008,6,2,C01A,f,a,8,4,93,lithos,incis,1,
PBG01,1,2008,6,2,C01A,f,a,8,4,106,dalea,candi,1,
PBG01,1,2008,6,2,C01A,f,a,8,4,109,dalea,purpu,1,
PBG01,1,2008,6,2,C01A,f,a,8,4,118,ratibi,colum,1,
PBG01,1,2008,6,2,C01A,f,a,8,4,120,ruelli,humil,1,
PBG01,1,2008,6,2,C01A,f,a,8,4,123,packer,platt,1,
PBG01,1,2008,6,2,C01A,f,a,8,4,125,sisyri,campe,1,
PBG01,1,2008,9,3,C01A,f,a,8,4,2,androp,gerar,5,
PBG01,1,2008,9,3,C01A,f,a,8,4,3,schiza,scopa,3,
PBG01,1,2008,9,3,C01A,f,a,8,4,4,boutel,curti,1,
PBG01,1,2008,9,3,C01A,f,a,8,4,11,eragro,spect,1,
PBG01,1,2008,9,3,C01A,f,a,8,4,18,sorgha,nutan,2,
PBG01,1,2008,9,3,C01A,f,a,8,4,21,sporob,compo,1,
PBG01,1,2008,9,3,C01A,f,a,8,4,40,amorph,canes,2,
PBG01,1,2008,9,3,C01A,f,a,8,4,46,ambros,psilo,1,
PBG01,1,2008,9,3,C01A,f,a,8,4,52,artemi,ludov,1,
PBG01,1,2008,9,3,C01A,f,a,8,4,58,symphy,erico,2,
PBG01,1,2008,9,3,C01A,f,a,8,4,59,symphy,oblon,2,
PBG01,1,2008,9,3,C01A,f,a,8,4,86,bricke,eupat,1,
PBG01,1,2008,9,3,C01A,f,a,8,4,92,linum,sulca,1,
PBG01,1,2008,9,3,C01A,f,a,8,4,121,salvia,azure,2,
PBG01,1,2008,9,3,C01A,f,a,8,4,128,solida,misso,2,
PBG01,1,2008,9,3,C01A,f,a,8,4,140,vernon,baldw,1,
PBG01,1,2008,9,3,C01A,f,a,8,4,234,rhus,glabr,3,
PBG01,1,2008,6,2,C01A,f,a,8,5,12,koeler,macra,1,
PBG01,1,2008,6,2,C01A,f,a,8,5,14,dichan,oligo,3,
PBG01,1,2008,6,2,C01A,f,a,8,5,17,poa,prate,1,
PBG01,1,2008,6,2,C01A,f,a,8,5,33,carex,inops,3,
PBG01,1,2008,6,2,C01A,f,a,8,5,34,carex,meadi,1,
PBG01,1,2008,6,2,C01A,f,a,8,5,36,cyperu,lupul,1,
PBG01,1,2008,6,2,C01A,f,a,8,5,43,sympho,orbic,2,
PBG01,1,2008,6,2,C01A,f,a,8,5,44,achill,mille,1,
PBG01,1,2008,6,2,C01A,f,a,8,5,77,eriger,strig,1,
PBG01,1,2008,6,2,C01A,f,a,8,5,109,dalea,purpu,1,
PBG01,1,2008,6,2,C01A,f,a,8,5,120,ruelli,humil,1,
PBG01,1,2008,6,2,C01A,f,a,8,5,125,sisyri,campe,1,
PBG01,1,2008,6,2,C01A,f,a,8,5,132,spermo,inerm,1,
PBG01,1,2008,9,3,C01A,f,a,8,5,2,androp,gerar,5,
PBG01,1,2008,9,3,C01A,f,a,8,5,3,schiza,scopa,3,
PBG01,1,2008,9,3,C01A,f,a,8,5,4,boutel,curti,1,
PBG01,1,2008,9,3,C01A,f,a,8,5,11,eragro,spect,1,
PBG01,1,2008,9,3,C01A,f,a,8,5,18,sorgha,nutan,2,
PBG01,1,2008,9,3,C01A,f,a,8,5,21,sporob,compo,1,
PBG01,1,2008,9,3,C01A,f,a,8,5,40,amorph,canes,2,
PBG01,1,2008,9,3,C01A,f,a,8,5,42,rosa,arkan,1,
PBG01,1,2008,9,3,C01A,f,a,8,5,46,ambros,psilo,2,
PBG01,1,2008,9,3,C01A,f,a,8,5,52,artemi,ludov,1,
PBG01,1,2008,9,3,C01A,f,a,8,5,58,symphy,erico,3,
PBG01,1,2008,9,3,C01A,f,a,8,5,59,symphy,oblon,2,
PBG01,1,2008,9,3,C01A,f,a,8,5,60,symphy,seric,1,
PBG01,1,2008,9,3,C01A,f,a,8,5,86,bricke,eupat,1,
PBG01,1,2008,9,3,C01A,f,a,8,5,90,lesped,capit,1,
PBG01,1,2008,9,3,C01A,f,a,8,5,92,linum,sulca,1,
PBG01,1,2008,9,3,C01A,f,a,8,5,121,salvia,azure,2,
PBG01,1,2008,9,3,C01A,f,a,8,5,127,solida,altis,1,
PBG01,1,2008,9,3,C01A,f,a,8,5,128,solida,misso,2,
PBG01,1,2008,9,3,C01A,f,a,8,5,140,vernon,baldw,1,
PBG01,1,2008,9,3,C01A,f,a,8,5,234,rhus,glabr,2,
PBG01,1,2008,6,2,C01A,f,b,8,1,12,koeler,macra,4,
PBG01,1,2008,6,2,C01A,f,b,8,1,14,dichan,oligo,4,
PBG01,1,2008,6,2,C01A,f,b,8,1,17,poa,prate,1,
PBG01,1,2008,6,2,C01A,f,b,8,1,33,carex,inops,2,
PBG01,1,2008,6,2,C01A,f,b,8,1,34,carex,meadi,2,
PBG01,1,2008,6,2,C01A,f,b,8,1,36,cyperu,lupul,1,
PBG01,1,2008,6,2,C01A,f,b,8,1,44,achill,mille,1,
PBG01,1,2008,6,2,C01A,f,b,8,1,49,antenn,negle,2,
PBG01,1,2008,6,2,C01A,f,b,8,1,54,asclep,steno,1,
PBG01,1,2008,6,2,C01A,f,b,8,1,56,asclep,virds,1,
PBG01,1,2008,6,2,C01A,f,b,8,1,66,baptis,bract,2,
PBG01,1,2008,6,2,C01A,f,b,8,1,77,eriger,strig,1,
PBG01,1,2008,6,2,C01A,f,b,8,1,89,lepidi,densi,1,
PBG01,1,2008,6,2,C01A,f,b,8,1,109,dalea,purpu,1,
PBG01,1,2008,6,2,C01A,f,b,8,1,124,silene,antir,1,
PBG01,1,2008,6,2,C01A,f,b,8,1,125,sisyri,campe,1,
PBG01,1,2008,9,3,C01A,f,b,8,1,2,androp,gerar,4,
PBG01,1,2008,9,3,C01A,f,b,8,1,3,schiza,scopa,3,
PBG01,1,2008,9,3,C01A,f,b,8,1,4,boutel,curti,1,
PBG01,1,2008,9,3,C01A,f,b,8,1,11,eragro,spect,1,
PBG01,1,2008,9,3,C01A,f,b,8,1,18,sorgha,nutan,3,
PBG01,1,2008,9,3,C01A,f,b,8,1,21,sporob,compo,1,
PBG01,1,2008,9,3,C01A,f,b,8,1,40,amorph,canes,1,
PBG01,1,2008,9,3,C01A,f,b,8,1,46,ambros,psilo,2,
PBG01,1,2008,9,3,C01A,f,b,8,1,52,artemi,ludov,1,
PBG01,1,2008,9,3,C01A,f,b,8,1,58,symphy,erico,2,
PBG01,1,2008,9,3,C01A,f,b,8,1,86,bricke,eupat,1,
PBG01,1,2008,9,3,C01A,f,b,8,1,92,linum,sulca,1,
PBG01,1,2008,9,3,C01A,f,b,8,1,121,salvia,azure,2,
PBG01,1,2008,9,3,C01A,f,b,8,1,127,solida,altis,2,
PBG01,1,2008,9,3,C01A,f,b,8,1,128,solida,misso,1,
PBG01,1,2008,6,2,C01A,f,b,8,2,12,koeler,macra,4,
PBG01,1,2008,6,2,C01A,f,b,8,2,14,dichan,oligo,4,
PBG01,1,2008,6,2,C01A,f,b,8,2,17,poa,prate,2,
PBG01,1,2008,6,2,C01A,f,b,8,2,33,carex,inops,2,
PBG01,1,2008,6,2,C01A,f,b,8,2,34,carex,meadi,2,
PBG01,1,2008,6,2,C01A,f,b,8,2,49,antenn,negle,1,
PBG01,1,2008,6,2,C01A,f,b,8,2,56,asclep,virds,2,
PBG01,1,2008,6,2,C01A,f,b,8,2,77,eriger,strig,1,
PBG01,1,2008,6,2,C01A,f,b,8,2,93,lithos,incis,1,
PBG01,1,2008,6,2,C01A,f,b,8,2,102,oxalis,stric,1,
PBG01,1,2008,6,2,C01A,f,b,8,2,106,dalea,candi,1,
PBG01,1,2008,6,2,C01A,f,b,8,2,109,dalea,purpu,1,
PBG01,1,2008,6,2,C01A,f,b,8,2,118,ratibi,colum,1,
PBG01,1,2008,6,2,C01A,f,b,8,2,120,ruelli,humil,1,
PBG01,1,2008,6,2,C01A,f,b,8,2,123,packer,platt,1,
PBG01,1,2008,6,2,C01A,f,b,8,2,125,sisyri,campe,1,
PBG01,1,2008,9,3,C01A,f,b,8,2,2,androp,gerar,4,
PBG01,1,2008,9,3,C01A,f,b,8,2,3,schiza,scopa,4,
PBG01,1,2008,9,3,C01A,f,b,8,2,4,boutel,curti,1,
PBG01,1,2008,9,3,C01A,f,b,8,2,11,eragro,spect,1,
PBG01,1,2008,9,3,C01A,f,b,8,2,18,sorgha,nutan,4,
PBG01,1,2008,9,3,C01A,f,b,8,2,21,sporob,compo,1,
PBG01,1,2008,9,3,C01A,f,b,8,2,40,amorph,canes,2,
PBG01,1,2008,9,3,C01A,f,b,8,2,46,ambros,psilo,2,
PBG01,1,2008,9,3,C01A,f,b,8,2,52,artemi,ludov,1,
PBG01,1,2008,9,3,C01A,f,b,8,2,58,symphy,erico,3,
PBG01,1,2008,9,3,C01A,f,b,8,2,59,symphy,oblon,2,
PBG01,1,2008,9,3,C01A,f,b,8,2,86,bricke,eupat,2,
PBG01,1,2008,9,3,C01A,f,b,8,2,92,linum,sulca,1,
PBG01,1,2008,9,3,C01A,f,b,8,2,128,solida,misso,2,
PBG01,1,2008,6,2,C01A,f,b,8,3,12,koeler,macra,2,
PBG01,1,2008,6,2,C01A,f,b,8,3,14,dichan,oligo,3,
PBG01,1,2008,6,2,C01A,f,b,8,3,17,poa,prate,2,
PBG01,1,2008,6,2,C01A,f,b,8,3,33,carex,inops,2,
PBG01,1,2008,6,2,C01A,f,b,8,3,34,carex,meadi,1,
PBG01,1,2008,6,2,C01A,f,b,8,3,49,antenn,negle,1,
PBG01,1,2008,6,2,C01A,f,b,8,3,66,baptis,bract,1,
PBG01,1,2008,6,2,C01A,f,b,8,3,77,eriger,strig,1,
PBG01,1,2008,6,2,C01A,f,b,8,3,92,linum,sulca,1,
PBG01,1,2008,6,2,C01A,f,b,8,3,106,dalea,candi,1,
PBG01,1,2008,6,2,C01A,f,b,8,3,109,dalea,purpu,1,
PBG01,1,2008,6,2,C01A,f,b,8,3,111,physal,pumil,1,
PBG01,1,2008,6,2,C01A,f,b,8,3,120,ruelli,humil,1,
PBG01,1,2008,6,2,C01A,f,b,8,3,125,sisyri,campe,1,
PBG01,1,2008,9,3,C01A,f,b,8,3,2,androp,gerar,4,
PBG01,1,2008,9,3,C01A,f,b,8,3,3,schiza,scopa,4,
PBG01,1,2008,9,3,C01A,f,b,8,3,4,boutel,curti,1,
PBG01,1,2008,9,3,C01A,f,b,8,3,11,eragro,spect,1,
PBG01,1,2008,9,3,C01A,f,b,8,3,18,sorgha,nutan,3,
PBG01,1,2008,9,3,C01A,f,b,8,3,21,sporob,compo,1,
PBG01,1,2008,9,3,C01A,f,b,8,3,23,sporob,heter,1,
PBG01,1,2008,9,3,C01A,f,b,8,3,40,amorph,canes,4,
PBG01,1,2008,9,3,C01A,f,b,8,3,46,ambros,psilo,2,
PBG01,1,2008,9,3,C01A,f,b,8,3,58,symphy,erico,3,
PBG01,1,2008,9,3,C01A,f,b,8,3,92,linum,sulca,1,
PBG01,1,2008,9,3,C01A,f,b,8,3,121,salvia,azure,2,
PBG01,1,2008,9,3,C01A,f,b,8,3,128,solida,misso,1,
PBG01,1,2008,6,2,C01A,f,b,8,4,12,koeler,macra,2,
PBG01,1,2008,6,2,C01A,f,b,8,4,14,dichan,oligo,3,
PBG01,1,2008,6,2,C01A,f,b,8,4,17,poa,prate,1,
PBG01,1,2008,6,2,C01A,f,b,8,4,33,carex,inops,2,
PBG01,1,2008,6,2,C01A,f,b,8,4,34,carex,meadi,2,
PBG01,1,2008,6,2,C01A,f,b,8,4,44,achill,mille,1,
PBG01,1,2008,6,2,C01A,f,b,8,4,49,antenn,negle,1,
PBG01,1,2008,6,2,C01A,f,b,8,4,55,asclep,verti,1,
PBG01,1,2008,6,2,C01A,f,b,8,4,77,eriger,strig,1,
PBG01,1,2008,6,2,C01A,f,b,8,4,89,lepidi,densi,1,
PBG01,1,2008,6,2,C01A,f,b,8,4,92,linum,sulca,1,
PBG01,1,2008,6,2,C01A,f,b,8,4,93,lithos,incis,1,
PBG01,1,2008,6,2,C01A,f,b,8,4,106,dalea,candi,1,
PBG01,1,2008,6,2,C01A,f,b,8,4,109,dalea,purpu,1,
PBG01,1,2008,6,2,C01A,f,b,8,4,118,ratibi,colum,1,
PBG01,1,2008,6,2,C01A,f,b,8,4,120,ruelli,humil,1,
PBG01,1,2008,6,2,C01A,f,b,8,4,124,silene,antir,1,
PBG01,1,2008,6,2,C01A,f,b,8,4,125,sisyri,campe,1,
PBG01,1,2008,6,2,C01A,f,b,8,4,154,comand,umbel,2,
PBG01,1,2008,6,2,C01A,f,b,8,4,516,asclep,lanug,1,
PBG01,1,2008,9,3,C01A,f,b,8,4,2,androp,gerar,4,
PBG01,1,2008,9,3,C01A,f,b,8,4,3,schiza,scopa,5,
PBG01,1,2008,9,3,C01A,f,b,8,4,4,boutel,curti,1,
PBG01,1,2008,9,3,C01A,f,b,8,4,11,eragro,spect,1,
PBG01,1,2008,9,3,C01A,f,b,8,4,18,sorgha,nutan,1,
PBG01,1,2008,9,3,C01A,f,b,8,4,21,sporob,compo,1,
PBG01,1,2008,9,3,C01A,f,b,8,4,40,amorph,canes,2,
PBG01,1,2008,9,3,C01A,f,b,8,4,42,rosa,arkan,1,
PBG01,1,2008,9,3,C01A,f,b,8,4,46,ambros,psilo,2,
PBG01,1,2008,9,3,C01A,f,b,8,4,52,artemi,ludov,1,
PBG01,1,2008,9,3,C01A,f,b,8,4,58,symphy,erico,4,
PBG01,1,2008,9,3,C01A,f,b,8,4,86,bricke,eupat,1,
PBG01,1,2008,9,3,C01A,f,b,8,4,92,linum,sulca,1,
PBG01,1,2008,9,3,C01A,f,b,8,4,121,salvia,azure,1,
PBG01,1,2008,9,3,C01A,f,b,8,4,128,solida,misso,1,
PBG01,1,2008,6,2,C01A,f,b,8,5,12,koeler,macra,4,
PBG01,1,2008,6,2,C01A,f,b,8,5,14,dichan,oligo,4,
PBG01,1,2008,6,2,C01A,f,b,8,5,16,dichan,ovale,1,
PBG01,1,2008,6,2,C01A,f,b,8,5,17,poa,prate,2,
PBG01,1,2008,6,2,C01A,f,b,8,5,27,vulpia,octof,1,
PBG01,1,2008,6,2,C01A,f,b,8,5,33,carex,inops,2,
PBG01,1,2008,6,2,C01A,f,b,8,5,34,carex,meadi,1,
PBG01,1,2008,6,2,C01A,f,b,8,5,36,cyperu,lupul,1,
PBG01,1,2008,6,2,C01A,f,b,8,5,44,achill,mille,1,
PBG01,1,2008,6,2,C01A,f,b,8,5,49,antenn,negle,3,
PBG01,1,2008,6,2,C01A,f,b,8,5,55,asclep,verti,1,
PBG01,1,2008,6,2,C01A,f,b,8,5,56,asclep,virds,1,
PBG01,1,2008,6,2,C01A,f,b,8,5,68,callir,alcae,1,
PBG01,1,2008,6,2,C01A,f,b,8,5,77,eriger,strig,1,
PBG01,1,2008,6,2,C01A,f,b,8,5,83,hierac,longi,1,
PBG01,1,2008,6,2,C01A,f,b,8,5,89,lepidi,densi,2,
PBG01,1,2008,6,2,C01A,f,b,8,5,92,linum,sulca,1,
PBG01,1,2008,6,2,C01A,f,b,8,5,102,oxalis,stric,2,
PBG01,1,2008,6,2,C01A,f,b,8,5,106,dalea,candi,1,
PBG01,1,2008,6,2,C01A,f,b,8,5,109,dalea,purpu,1,
PBG01,1,2008,6,2,C01A,f,b,8,5,118,ratibi,colum,1,
PBG01,1,2008,6,2,C01A,f,b,8,5,120,ruelli,humil,1,
PBG01,1,2008,6,2,C01A,f,b,8,5,123,packer,platt,1,
PBG01,1,2008,6,2,C01A,f,b,8,5,124,silene,antir,1,
PBG01,1,2008,6,2,C01A,f,b,8,5,125,sisyri,campe,1,
PBG01,1,2008,6,2,C01A,f,b,8,5,150,agrost,hyema,1,
PBG01,1,2008,6,2,C01A,f,b,8,5,154,comand,umbel,2,
PBG01,1,2008,6,2,C01A,f,b,8,5,516,asclep,lanug,1,
PBG01,1,2008,9,3,C01A,f,b,8,5,2,androp,gerar,4,
PBG01,1,2008,9,3,C01A,f,b,8,5,3,schiza,scopa,3,
PBG01,1,2008,9,3,C01A,f,b,8,5,4,boutel,curti,2,
PBG01,1,2008,9,3,C01A,f,b,8,5,5,boutel,graci,1,
PBG01,1,2008,9,3,C01A,f,b,8,5,11,eragro,spect,1,
PBG01,1,2008,9,3,C01A,f,b,8,5,18,sorgha,nutan,2,
PBG01,1,2008,9,3,C01A,f,b,8,5,21,sporob,compo,1,
PBG01,1,2008,9,3,C01A,f,b,8,5,40,amorph,canes,2,
PBG01,1,2008,9,3,C01A,f,b,8,5,46,ambros,psilo,2,
PBG01,1,2008,9,3,C01A,f,b,8,5,52,artemi,ludov,1,
PBG01,1,2008,9,3,C01A,f,b,8,5,58,symphy,erico,4,
PBG01,1,2008,9,3,C01A,f,b,8,5,86,bricke,eupat,1,
PBG01,1,2008,9,3,C01A,f,b,8,5,92,linum,sulca,1,
PBG01,1,2008,9,3,C01A,f,b,8,5,127,solida,altis,1,
PBG01,1,2008,9,3,C01A,f,b,8,5,128,solida,misso,2,
PBG01,1,2008,9,3,C01A,f,b,8,5,140,vernon,baldw,1,
PBG01,1,2008,6,2,C01A,f,c,8,1,12,koeler,macra,2,
PBG01,1,2008,6,2,C01A,f,c,8,1,14,dichan,oligo,3,
PBG01,1,2008,6,2,C01A,f,c,8,1,17,poa,prate,4,
PBG01,1,2008,6,2,C01A,f,c,8,1,31,carex,brevi,1,
PBG01,1,2008,6,2,C01A,f,c,8,1,33,carex,inops,2,
PBG01,1,2008,6,2,C01A,f,c,8,1,34,carex,meadi,1,
PBG01,1,2008,6,2,C01A,f,c,8,1,36,cyperu,lupul,1,
PBG01,1,2008,6,2,C01A,f,c,8,1,117,pediom,tenui,2,
PBG01,1,2008,6,2,C01A,f,c,8,1,120,ruelli,humil,1,
PBG01,1,2008,6,2,C01A,f,c,8,1,125,sisyri,campe,1,
PBG01,1,2008,6,2,C01A,f,c,8,1,147,viola,pedat,1,
PBG01,1,2008,6,2,C01A,f,c,8,1,152,asclep,virdf,1,
PBG01,1,2008,6,2,C01A,f,c,8,1,156,acalyp,virgi,1,
PBG01,1,2008,6,2,C01A,f,c,8,1,210,carex,spp.,1,
PBG01,1,2008,9,3,C01A,f,c,8,1,2,androp,gerar,4,
PBG01,1,2008,9,3,C01A,f,c,8,1,3,schiza,scopa,3,
PBG01,1,2008,9,3,C01A,f,c,8,1,11,eragro,spect,1,
PBG01,1,2008,9,3,C01A,f,c,8,1,18,sorgha,nutan,2,
PBG01,1,2008,9,3,C01A,f,c,8,1,21,sporob,compo,1,
PBG01,1,2008,9,3,C01A,f,c,8,1,43,sympho,orbic,3,
PBG01,1,2008,9,3,C01A,f,c,8,1,46,ambros,psilo,2,
PBG01,1,2008,9,3,C01A,f,c,8,1,52,artemi,ludov,3,
PBG01,1,2008,9,3,C01A,f,c,8,1,58,symphy,erico,3,
PBG01,1,2008,9,3,C01A,f,c,8,1,90,lesped,capit,1,
PBG01,1,2008,9,3,C01A,f,c,8,1,128,solida,misso,1,
PBG01,1,2008,9,3,C01A,f,c,8,1,140,vernon,baldw,1,
PBG01,1,2008,9,3,C01A,f,c,8,1,156,acalyp,virgi,1,
PBG01,1,2008,6,2,C01A,f,c,8,2,12,koeler,macra,1,
PBG01,1,2008,6,2,C01A,f,c,8,2,14,dichan,oligo,2,
